IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired
557,1,2,0.1,0.1,,2,3,1,0101001NA4Z1LZ,,2033-07-23T13:00:00.000Z,,0
555,1,2,0.1,0.1,,2,3,1,0101001WU6PE1D,,2033-07-23T13:00:00.000Z,,0
554,1,2,0.1,0.1,,2,3,1,0101001AQPV5DN,,2033-07-23T13:00:00.000Z,,0
553,1,2,0.1,0.1,,2,3,1,010100158TCSXP,,2033-07-23T13:00:00.000Z,,0
551,1,2,0.1,0.1,,2,3,1,0101001M5L43TV,,2033-07-23T13:00:00.000Z,,0
550,1,2,0.1,0.1,,2,3,1,0101001RZ4VJ2V,,2033-07-23T13:00:00.000Z,,0
549,1,2,0.1,0.1,,2,3,1,0101001ATSYQYR,,2033-07-23T13:00:00.000Z,,0
548,1,2,0.1,0.1,,2,3,1,0101001V1GV9PW,,2033-07-23T13:00:00.000Z,,0
547,1,2,0.1,0.1,,2,3,1,0101001KG6H5RP,,2033-07-23T13:00:00.000Z,,0
546,1,2,0.1,0.1,,2,3,1,0101001T4QC5BY,,2033-07-23T13:00:00.000Z,,0
545,1,2,0.1,0.1,,2,3,1,0101001FDX0ECM,,2033-07-23T13:00:00.000Z,,0
544,1,2,0.1,0.1,,2,3,1,0101001Q7IL6P8,,2033-07-23T13:00:00.000Z,,0
543,1,2,0.1,0.1,,2,3,1,0101001WRX3A90,,2033-07-23T13:00:00.000Z,,0
541,1,2,0.1,0.1,,2,3,1,0101001BFJU8EW,,2033-07-23T13:00:00.000Z,,0
540,1,2,0.1,0.1,,2,3,1,0101001GPF56B3,,2033-07-23T13:00:00.000Z,,0
538,1,2,0.1,0.1,,2,3,1,0101001B80QZQ2,,2033-07-23T13:00:00.000Z,,0
537,1,2,0.1,0.1,,2,3,1,01010019TSJ8N3,,2033-07-23T13:00:00.000Z,,0
536,1,2,0.1,0.1,,2,3,1,0101001VK67Y3R,,2033-07-23T13:00:00.000Z,,0
535,1,2,0.1,0.1,,2,3,1,0101001DW5A73T,,2033-07-23T13:00:00.000Z,,0
534,1,2,0.1,0.1,,2,3,1,0101001AEMRSGX,,2033-07-23T13:00:00.000Z,,0
533,1,2,0.1,0.1,,2,3,1,0101001LODIYZ8,,2033-07-23T13:00:00.000Z,,0
532,1,2,0.1,0.1,,2,3,1,0101001X156O7J,,2033-07-23T13:00:00.000Z,,0
531,1,2,0.1,0.1,,2,3,1,0101001A7M2DHZ,,2033-07-23T13:00:00.000Z,,0
529,1,2,0.1,0.1,,2,3,1,0101001KASDKVT,,2033-07-23T13:00:00.000Z,,0
528,1,2,0.1,0.1,,2,3,1,0101001COYBF6H,,2033-07-23T13:00:00.000Z,,0
527,1,2,0.1,0.1,,2,3,1,0101001WQ4KH9F,,2033-07-23T13:00:00.000Z,,0
526,1,2,0.1,0.1,,2,3,1,0101001HOHDNW5,,2033-07-23T13:00:00.000Z,,0
525,1,2,0.1,0.1,,2,3,1,01010016OBEYEW,,2033-07-23T13:00:00.000Z,,0
524,1,2,0.1,0.1,,2,3,1,01010016I0FKZJ,,2033-07-23T13:00:00.000Z,,0
523,1,2,0.1,0.1,,2,3,1,0101001W693QYQ,,2033-07-23T13:00:00.000Z,,0
521,1,2,0.1,0.1,,2,3,1,0101001ZJEROGO,,2033-07-23T13:00:00.000Z,,0
520,1,2,0.1,0.1,,2,3,1,0101001F9EE6HU,,2033-07-23T13:00:00.000Z,,0
519,1,2,0.1,0.1,,2,3,1,0101001B4HYBQD,,2033-07-23T13:00:00.000Z,,0
518,1,2,0.1,0.1,,2,3,1,0101001OSDLCZZ,,2033-07-23T13:00:00.000Z,,0
517,1,2,0.1,0.1,,2,3,1,0101001IM7CDRP,,2033-07-23T13:00:00.000Z,,0
516,1,2,0.1,0.1,,2,3,1,0101001XBLNQ1A,,2033-07-23T13:00:00.000Z,,0
515,1,2,0.1,0.1,,2,3,1,0101001M74GDR8,,2033-07-23T13:00:00.000Z,,0
514,1,2,0.1,0.1,,2,3,1,0101001X88YT4I,,2033-07-23T13:00:00.000Z,,0
